,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
1527,Atk456,1.71E-06,57,29.145,Inf,0.710325939,NA,2.301278666,Inf,Inf,9.995,NA
1528,Atk457,1.31E-06,54.31,32.23,64.626,0.996211597,0.904839491,NA,10.316,32.396,8.298,0.091372106
1529,Atk458,1.73E-06,51.512,25.615,Inf,NA,0.213446022,NA,Inf,Inf,13.926,NA
1530,Atk459,3.20E-06,62.71,31.853,67.812,0.482956703,2.854137592,1.724983811,5.102,35.959,17.356,-2.37118089
1531,Atk46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1532,Atk460,3.57E-06,57.11,-6.02,77.8,0.239297763,1.101482819,1.319550429,20.69,83.82,18.362,-0.862185056
1533,Atk461,2.66E-06,58.022,20.767,93.152,0.313727129,0.521934731,1.43258464,35.13,72.385,20.894,-0.208207602
1534,Atk462,2.48E-06,61.063,24.456,68.883,0.258498541,2.162593613,1.333796989,7.82,44.427,18.458,-1.904095072
1535,Atk463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1536,Atk464,4.41E-06,74,17.966,Inf,0.158962985,NA,1.190496159,Inf,Inf,18.385,NA
1537,Atk465,2.60E-06,60.099,21.544,70.404,0.38661935,1.681070987,1.555747074,10.305,48.86,15.362,-1.294451637
1538,Atk466,2.55E-06,62.563,19.807,68.751,0.325738641,1.342414697,1.447407165,6.188,48.944,13.158,-1.016676056
