,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
380,408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
